timestamp,value,__name__,beta_kubernetes_io_arch,beta_kubernetes_io_os,id,instance,job,kubernetes_io_arch,kubernetes_io_hostname,kubernetes_io_os,minikube_k8s_io_commit,minikube_k8s_io_name,minikube_k8s_io_primary,minikube_k8s_io_updated_at,minikube_k8s_io_version,namespace,pod
1780611291,9404416,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611306,9408512,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611321,9404416,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611336,9404416,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611351,9662464,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611366,9408512,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611381,9404416,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611396,9404416,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611411,9404416,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611426,9404416,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611441,9535488,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611456,9535488,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611471,9535488,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611486,9535488,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611501,9539584,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611516,9535488,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611531,9539584,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611546,9596928,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611561,9601024,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611576,9601024,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611591,9605120,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611606,9601024,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611621,9609216,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611636,9863168,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611651,9863168,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod01f3d20f-3032-49e2-b152-1c794ff8cf8f,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,productcatalogservice-c4cfd98fb-n5rmd
1780611291,110149632,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611306,110026752,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611321,110026752,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611336,110026752,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611351,110149632,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611366,110149632,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611381,110149632,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611396,110149632,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611411,110149632,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611426,110149632,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611441,110149632,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611456,110149632,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611471,110149632,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611486,110678016,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611501,110149632,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611516,110149632,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611531,110149632,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611546,110149632,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611561,110149632,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611576,110157824,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611591,110157824,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611606,110026752,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611621,110149632,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611636,110149632,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611651,110149632,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod187940fe-085c-49fa-8e70-566b8297dee8,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,adservice-64dd5464b8-75dzr
1780611291,9637888,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780611306,9637888,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780611321,9637888,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780611336,9637888,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780611351,9637888,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780611366,9637888,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780611381,9637888,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780611396,9637888,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780611411,9506816,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780611426,9506816,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780611441,9506816,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780611456,9506816,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780611471,9506816,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780611486,9510912,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
1780611501,9510912,container_memory_working_set_bytes,amd64,linux,/kubepods/burstable/pod2dbfba94-4edb-4d67-a5a7-d60278acbfdd,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,checkoutservice-dcf4c5c7b-82zmn
