timestamp,value,beta_kubernetes_io_arch,beta_kubernetes_io_os,device,id,instance,job,kubernetes_io_arch,kubernetes_io_hostname,kubernetes_io_os,minikube_k8s_io_commit,minikube_k8s_io_name,minikube_k8s_io_primary,minikube_k8s_io_updated_at,minikube_k8s_io_version,namespace,pod
1780612123,0,amd64,linux,/dev/sdf,/kubepods/burstable/podef0f4d13-54dc-44c4-bc7c-9f8246a87310,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,cartservice-7956c8c845-x7sqr
1780612138,0,amd64,linux,/dev/sdf,/kubepods/burstable/podef0f4d13-54dc-44c4-bc7c-9f8246a87310,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,cartservice-7956c8c845-x7sqr
1780612153,0,amd64,linux,/dev/sdf,/kubepods/burstable/podef0f4d13-54dc-44c4-bc7c-9f8246a87310,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,cartservice-7956c8c845-x7sqr
1780612168,0,amd64,linux,/dev/sdf,/kubepods/burstable/podef0f4d13-54dc-44c4-bc7c-9f8246a87310,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,cartservice-7956c8c845-x7sqr
1780612183,0,amd64,linux,/dev/sdf,/kubepods/burstable/podef0f4d13-54dc-44c4-bc7c-9f8246a87310,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,cartservice-7956c8c845-x7sqr
1780612198,0,amd64,linux,/dev/sdf,/kubepods/burstable/podef0f4d13-54dc-44c4-bc7c-9f8246a87310,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,cartservice-7956c8c845-x7sqr
1780612213,0,amd64,linux,/dev/sdf,/kubepods/burstable/podef0f4d13-54dc-44c4-bc7c-9f8246a87310,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,cartservice-7956c8c845-x7sqr
1780612228,0,amd64,linux,/dev/sdf,/kubepods/burstable/podef0f4d13-54dc-44c4-bc7c-9f8246a87310,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,cartservice-7956c8c845-x7sqr
1780612243,0,amd64,linux,/dev/sdf,/kubepods/burstable/podef0f4d13-54dc-44c4-bc7c-9f8246a87310,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,cartservice-7956c8c845-x7sqr
1780612258,0,amd64,linux,/dev/sdf,/kubepods/burstable/podef0f4d13-54dc-44c4-bc7c-9f8246a87310,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,cartservice-7956c8c845-x7sqr
1780612273,0,amd64,linux,/dev/sdf,/kubepods/burstable/podef0f4d13-54dc-44c4-bc7c-9f8246a87310,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,cartservice-7956c8c845-x7sqr
1780612288,0,amd64,linux,/dev/sdf,/kubepods/burstable/podef0f4d13-54dc-44c4-bc7c-9f8246a87310,minikube,kubernetes-cadvisor,amd64,minikube,linux,c93a4cb9311efc66b90d33ea03f75f2c4120e9b0,minikube,true,2026_05_10T19_19_17_0700,v1.38.1,online-boutique,cartservice-7956c8c845-x7sqr
